,,,,,,,,,,,,,,,,,
Liquidity Operations by RBI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
(Rupees Crores),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Liquidity Adjustment Facility,,,,,,,,OMO (Outright),,,,,,,,
Date ,Repo,Reverse Repo,Variable Rate Repo,Variable Rate Reverse Repo,MSF,SDF,Standing Liquidity Facilities,Market Stabilisation Scheme,Sale,Purchase,Long Term Repo Operations,Targeted Long Term Repo Operations,Special Liquidity Facility for Mutual Funds,Special Liquidity Scheme for NBFCs/ HFCs,Special Long - Term Repo Operations for Small Finance Banks,Special Reverse Repo,Net Injection (+)/ Absorption (-) (1+3+5+7+10-2-4-6-9)
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Oct 14, 2025",-,-,-,-,"3,164","1,40,996",0,-,-,-,-,-,-,-,-,-,"-1,37,832"
"Oct 13, 2025",-,-,-,-,"14,585","1,54,542",0,-,-,-,-,-,-,-,-,-,"-1,39,957"
"Oct 12, 2025",-,-,-,-,"2,367","1,71,513",0,-,-,-,-,-,-,-,-,-,"-1,69,146"
"Oct 11, 2025",-,-,-,-,"1,780","1,65,273",0,-,-,-,-,-,-,-,-,-,"-1,63,493"
"Oct 10, 2025",-,-,"37,929",-,"2,783","1,94,925","1,176",-,-,-,-,-,-,-,-,-,"-1,53,037"
"Oct 09, 2025",-,-,-,"46,860","15,771","1,33,799",0,-,-,-,-,-,-,-,-,-,"-1,64,888"
"Oct 08, 2025",-,-,-,-,"1,231","1,39,538",-4,-,-,-,-,-,-,-,-,-,"-1,38,311"
"Oct 07, 2025",-,-,-,-,"1,430","1,58,517",-719,-,-,-,-,-,-,-,-,-,"-1,57,806"
"Oct 06, 2025",-,-,-,-,"1,158","1,69,737",-768,-,-,-,-,-,-,-,-,-,"-1,69,347"
"Oct 05, 2025",-,-,-,-,157,"1,60,593",0,-,-,-,-,-,-,-,-,-,"-1,60,436"
"Oct 04, 2025",-,-,-,-,313,"1,78,791",0,-,-,-,-,-,-,-,-,-,"-1,78,478"
"Oct 03, 2025",-,-,-,-,"1,512","2,01,622",153,-,-,-,-,-,-,-,-,-,"-1,99,957"
"Oct 02, 2025",-,-,-,-,204,"1,81,620",0,-,-,-,-,-,-,-,-,-,"-1,81,416"
"Oct 01, 2025",-,-,"7,370",-,651,"1,84,677",0,-,-,-,-,-,-,-,-,-,"-1,76,656"
"Sep 30, 2025",-,-,"85,197",-,"1,850","1,75,443",0,-,-,-,-,-,-,-,-,-,"-88,396"
"Sep 29, 2025",-,-,-,-,"1,897","1,58,209",-109,-,-,-,-,-,-,-,-,-,"-1,56,421"
"Sep 28, 2025",-,-,-,-,"6,922","1,37,488",0,-,-,-,-,-,-,-,-,-,"-1,30,566"
"Sep 27, 2025",-,-,-,-,"2,966","1,36,939",0,-,-,-,-,-,-,-,-,-,"-1,33,973"
"Sep 26, 2025",-,-,"90,931",-,385,"1,47,590",165,-,-,-,-,-,-,-,-,-,"-56,109"
"Sep 25, 2025",-,-,"69,060",-,"2,688","95,049",0,-,-,-,-,-,-,-,-,-,"-23,301"
"Sep 24, 2025",-,-,"48,980",-,403,"93,350",0,-,-,10,-,-,-,-,-,-,"-43,957"
"Sep 23, 2025",-,-,"1,40,516",-,328,"1,23,947",0,-,-,-,-,-,-,-,-,-,"16,897"
"Sep 22, 2025",-,-,"21,151",-,"6,679","66,129",0,-,-,-,-,-,-,-,-,-,"-38,299"
"Sep 21, 2025",-,-,-,-,230,"73,485",0,-,-,-,-,-,-,-,-,-,"-73,255"
"Sep 20, 2025",-,-,-,-,438,"77,708",0,-,-,-,-,-,-,-,-,-,"-77,270"
"Sep 19, 2025",-,-,"60,357",-,310,"1,24,189",0,-,-,-,-,-,-,-,-,-,"-63,522"
"Sep 18, 2025",-,-,"25,006",-,"2,849","1,11,533","1,195",-,-,-,-,-,-,-,-,-,"-82,483"
"Sep 17, 2025",-,-,-,-,"1,507","74,961",0,-,-,-,-,-,-,-,-,-,"-73,454"
"Sep 16, 2025",-,-,585,-,"18,172","98,460",649,-,-,-,-,-,-,-,-,-,"-79,054"
"Sep 15, 2025",-,-,-,-,"1,282","1,99,673",718,-,-,-,-,-,-,-,-,-,"-1,97,673"
"Sep 14, 2025",-,-,-,-,"1,176","1,15,495",0,-,-,-,-,-,-,-,-,-,"-1,14,319"
"Sep 13, 2025",-,-,-,-,969,"1,12,438",0,-,-,-,-,-,-,-,-,-,"-1,11,469"
"Sep 12, 2025",-,-,-,"1,50,015","1,184","1,23,250",0,-,-,-,-,-,-,-,-,-,"-2,72,081"
"Sep 11, 2025",-,-,-,-,"1,159","1,24,040",576,-,-,-,-,-,-,-,-,-,"-1,22,305"
"Sep 10, 2025",-,-,-,"20,175",967,"99,886",-577,-,-,-,-,-,-,-,-,-,"-1,19,671"
"Sep 09, 2025",-,-,-,-,"1,052","1,23,828",0,-,-,-,-,-,-,-,-,-,"-1,22,776"
"Sep 08, 2025",-,-,-,-,"12,069","1,04,910",0,-,-,-,-,-,-,-,-,-,"-92,841"
"Sep 07, 2025",-,-,-,-,824,"1,04,586",0,-,-,-,-,-,-,-,-,-,"-1,03,762"
"Sep 06, 2025",-,-,-,-,868,"1,09,040",0,-,-,-,-,-,-,-,-,-,"-1,08,172"
"Sep 05, 2025",-,-,-,-,"3,936","1,49,276",0,-,-,-,-,-,-,-,-,-,"-1,45,340"
"Sep 04, 2025",-,-,-,"1,50,023","4,644","1,49,334","1,149",-,-,-,-,-,-,-,-,-,"-2,93,564"
"Sep 03, 2025",-,-,-,-,"1,952","1,18,742","-3,131",-,-,-,-,-,-,-,-,-,"-1,19,921"
"Sep 02, 2025",-,-,-,-,"1,510","1,27,443","-1,214",-,-,-,-,-,-,-,-,-,"-1,27,147"
"Sep 01, 2025",-,-,-,"48,820","4,571","1,18,298",0,-,-,-,-,-,-,-,-,-,"-1,62,547"
"Aug 31, 2025",-,-,-,-,780,"1,29,849",0,-,-,-,-,-,-,-,-,-,"-1,29,069"
"Aug 30, 2025",-,-,-,-,953,"1,38,905",0,-,-,-,-,-,-,-,-,-,"-1,37,952"
"Aug 29, 2025",-,-,-,"1,38,366","1,950","1,17,618",0,-,-,-,-,-,-,-,-,-,"-2,54,034"
"Aug 28, 2025",-,-,-,"49,515","3,579","1,26,448",0,-,-,-,-,-,-,-,-,-,"-1,72,384"
"Aug 27, 2025",-,-,-,-,"1,292","1,15,946",0,-,-,-,-,-,-,-,-,-,"-1,14,654"
"Aug 26, 2025",-,-,-,-,"1,590","1,27,715",268,-,-,-,-,-,-,-,-,-,"-1,25,857"
"Aug 25, 2025",-,-,-,-,"1,837","1,16,270",-299,-,-,-,-,-,-,-,-,-,"-1,14,732"
"Aug 24, 2025",-,-,-,-,533,"92,624",0,-,-,-,-,-,-,-,-,-,"-92,091"
