"Date","Price","Open","High","Low","Change %"
"10-12-2025","6.265","6.295","6.304","6.262","-0.16%"
"09-12-2025","6.275","6.233","6.279","6.226","0.80%"
"08-12-2025","6.225","6.173","6.225","6.163","0.65%"
"05-12-2025","6.185","6.237","6.247","6.155","-0.77%"
"04-12-2025","6.233","6.234","6.256","6.233","0.10%"
"03-12-2025","6.227","6.216","6.250","6.216","0.39%"
"02-12-2025","6.203","6.260","6.280","6.203","-0.77%"
"01-12-2025","6.251","6.228","6.278","6.227","0.89%"
"28-11-2025","6.196","6.165","6.252","6.165","0.68%"
"27-11-2025","6.154","6.146","6.166","6.145","0.46%"
"26-11-2025","6.126","6.140","6.147","6.126","0.15%"
"25-11-2025","6.117","6.202","6.202","6.117","-1.18%"
"24-11-2025","6.190","6.237","6.241","6.190","-0.26%"
"21-11-2025","6.206","6.196","6.260","6.196","0.18%"
"20-11-2025","6.195","6.206","6.218","6.195","-0.05%"
"19-11-2025","6.198","6.201","6.207","6.193","-0.05%"
"18-11-2025","6.201","6.208","6.233","6.186","-0.19%"
"17-11-2025","6.213","6.180","6.213","6.180","0.65%"
"14-11-2025","6.173","6.167","6.199","6.167","0.11%"
"13-11-2025","6.166","6.166","6.204","6.166","0.06%"
"12-11-2025","6.162","6.165","6.166","6.151","0.08%"
"11-11-2025","6.157","6.149","6.165","6.149","0.18%"
"10-11-2025","6.146","6.160","6.171","6.146","-0.10%"
