"Date","Price","Open","High","Low","Change %"
"10-12-2025","5.755","5.761","5.761","5.755","-0.03%"
"09-12-2025","5.757","5.554","5.757","5.547","-0.26%"
"08-12-2025","5.772","5.767","5.772","5.766","4.04%"
"05-12-2025","5.548","5.830","6.019","5.548","-5.19%"
"04-12-2025","5.852","5.823","5.852","5.823","0.12%"
"03-12-2025","5.845","5.849","5.859","5.823","0.21%"
"02-12-2025","5.833","5.834","5.859","5.833","0.24%"
"01-12-2025","5.819","5.826","5.860","5.760","1.16%"
"28-11-2025","5.752","5.809","5.887","5.752","-0.74%"
"27-11-2025","5.795","5.813","5.827","5.795","-0.21%"
"26-11-2025","5.807","5.821","5.821","5.807","-0.10%"
"25-11-2025","5.813","5.837","5.838","5.813","-0.34%"
"24-11-2025","5.833","5.843","5.906","5.833","0.34%"
"21-11-2025","5.813","5.825","5.853","5.813","-0.22%"
"20-11-2025","5.826","5.820","5.828","5.815","0.28%"
"19-11-2025","5.810","5.849","5.849","5.810","-0.10%"
"18-11-2025","5.816","5.816","5.859","5.814","0.33%"
"17-11-2025","5.797","5.816","5.816","5.764","0.47%"
"14-11-2025","5.770","5.876","5.876","5.770","-1.22%"
"13-11-2025","5.841","5.874","5.874","5.841","-0.39%"
"12-11-2025","5.864","5.838","5.874","5.838","0.58%"
"11-11-2025","5.830","5.822","5.838","5.821","0.14%"
"10-11-2025","5.822","5.888","5.889","5.822","-0.15%"
