"Date","Price","Open","High","Low","Change %"
"10-12-2025","6.600","6.628","6.628","6.600","-0.27%"
"09-12-2025","6.618","6.572","6.629","6.560","0.78%"
"08-12-2025","6.567","6.515","6.577","6.509","1.03%"
"05-12-2025","6.500","6.530","6.530","6.489","-0.47%"
"04-12-2025","6.531","6.534","6.558","6.530","0.08%"
"03-12-2025","6.526","6.513","6.547","6.513","0.35%"
"02-12-2025","6.503","6.575","6.578","6.503","-1.10%"
"01-12-2025","6.575","6.547","6.575","6.542","0.72%"
"28-11-2025","6.528","6.513","6.570","6.500","0.23%"
"27-11-2025","6.513","6.492","6.518","6.487","0.42%"
"26-11-2025","6.486","6.496","6.505","6.486","-0.08%"
"25-11-2025","6.491","6.519","6.525","6.490","-0.52%"
"24-11-2025","6.525","6.566","6.566","6.519","-0.53%"
"21-11-2025","6.560","6.536","6.575","6.527","0.37%"
"20-11-2025","6.536","6.535","6.550","6.535","0.06%"
"19-11-2025","6.532","6.522","6.537","6.511","0.14%"
"18-11-2025","6.523","6.542","6.549","6.508","-0.20%"
"17-11-2025","6.536","6.527","6.549","6.527","0.14%"
"14-11-2025","6.527","6.513","6.540","6.513","0.25%"
"13-11-2025","6.511","6.499","6.517","6.490","0.43%"
"12-11-2025","6.483","6.506","6.506","6.476","-0.25%"
"11-11-2025","6.499","6.493","6.506","6.481","0.14%"
"10-11-2025","6.490","6.535","6.535","6.490","-0.48%"
