,adj_close,return,india_vix,1Y,3Y,5Y,10Y,net_laf,net_laf_ma30,net_laf_sd30,liquidity_z_30d,rv_30d,rv_30d_ann,vix_30d,vix_pct,vix_ann_est,rv_30d_ann_filled,vix_minus_rv,yield_slope_10y_1y,yield_curvature,yield_5y_3y,vol_liq_interaction,high_vol_flag,liquidity_stress_flag,rv_90d,rv_90d_ann,vol_cluster_ratio,pred_2,pred_3,pred_4,regime_ensemble,regime_hmm_2,regime_hmm_3,regime_hmm_4
2015-10-12,8143.600098,-0.005629,19.120001,,,,,-1422.000000,-4316.033300,21417.298700,0.135100,0.011917,0.189179,22.104074,19.120001,0.191200,0.189179,0.002021,,,,0.025558,1,0,0.011677,0.185360,1.020602,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-10-13,8131.700195,-0.001461,18.020000,,,,,869.000000,-3978.333300,21416.494300,0.226300,0.010916,0.173289,21.707778,18.020000,0.180200,0.173289,0.006911,,,,0.039215,1,0,0.011674,0.185315,0.935104,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-10-14,8107.899902,-0.002927,17.719999,,,,,10294.000000,-2741.133300,21121.379100,0.617200,0.010755,0.170735,21.377037,17.719999,0.177200,0.170735,0.006465,,,,0.105377,1,0,0.011599,0.184133,0.927235,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-10-15,8179.500000,0.008831,17.170000,,,,,13703.000000,-65.133300,17536.001800,0.785100,0.010588,0.168072,21.119630,17.170000,0.171700,0.168072,0.003628,,,,0.131954,1,0,0.011439,0.181591,0.925554,1.000000,1.000000,2.000000,1.000000,1.000000,1.000000,2.000000
2015-10-16,8238.150391,0.007170,16.270000,,,,,15850.000000,846.100000,17632.015800,0.850900,0.009561,0.151782,20.743704,16.270000,0.162700,0.151782,0.010918,,,,0.129152,0,0,0.011461,0.181934,0.834270,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-19,8275.049805,0.004479,16.879999,,,,,10055.000000,1735.000000,17392.096600,0.478400,0.009059,0.143810,20.392963,16.879999,0.168800,0.143810,0.024990,,,,0.068798,0,0,0.011463,0.181970,0.790291,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-20,8261.650391,-0.001619,17.000000,,,,,16261.000000,2208.800000,17593.335800,0.798700,0.008677,0.137741,20.112592,17.000000,0.170000,0.137741,0.032259,,,,0.110014,0,0,0.011458,0.181889,0.757280,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-21,8251.700195,-0.001204,16.620001,,,,,2613.000000,1881.100000,17487.355900,0.041900,0.008222,0.130514,19.828148,16.620001,0.166200,0.130514,0.035686,,,,0.005469,0,0,0.011446,0.181693,0.718324,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-23,8295.450195,0.005302,16.190001,,,,,29923.000000,2669.100000,18141.464800,1.502300,0.008306,0.131853,19.300769,16.190001,0.161900,0.131853,0.030047,,,,0.198083,0,1,0.011456,0.181863,0.725016,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-26,8260.549805,-0.004207,17.230000,,,,,37816.000000,4027.000000,19202.198300,1.759600,0.008231,0.130656,19.028077,17.230000,0.172300,0.130656,0.041644,,,,0.229902,0,1,0.011341,0.180035,0.725726,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-27,8232.900391,-0.003347,16.540001,,,,,45086.000000,5945.000000,20339.247400,1.924400,0.008165,0.129608,18.751154,16.540001,0.165400,0.129608,0.035792,,,,0.249417,0,1,0.011340,0.180020,0.719963,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-28,8171.200195,-0.007494,17.040001,,,,,3385.000000,4901.933300,19604.055500,-0.077400,0.008239,0.130786,18.560385,17.040001,0.170400,0.130786,0.039614,,,,-0.010123,0,0,0.011365,0.180418,0.724906,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-29,8111.750000,-0.007276,17.580000,,,,,-11046.000000,4681.766700,19749.153400,-0.796400,0.008247,0.130917,18.524074,17.580000,0.175800,0.130917,0.044883,,,,-0.104262,0,0,0.011379,0.180638,0.724745,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-10-30,8065.799805,-0.005665,17.879999,,,,,7099.000000,3388.533300,18163.908100,0.204300,0.008119,0.128884,18.508889,17.879999,0.178800,0.128884,0.049916,,,,0.026331,0,0,0.011392,0.180847,0.712672,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-11-02,8050.799805,-0.001860,19.480000,,,,,-10197.000000,2808.766700,18315.139000,-0.710100,0.008129,0.129038,18.557037,19.480000,0.194800,0.129038,0.065762,,,,-0.091630,0,0,0.011367,0.180448,0.715099,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-11-03,8060.700195,0.001230,19.559999,,,,,-13337.000000,2305.133300,18550.849600,-0.843200,0.006953,0.110376,18.527778,19.559999,0.195600,0.110376,0.085224,,,,-0.093069,0,0,0.011347,0.180135,0.612740,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-11-04,8040.200195,-0.002543,19.360001,,,,,-6123.000000,1983.366700,18612.485400,-0.435500,0.006959,0.110470,18.478518,19.360001,0.193600,0.110470,0.083130,,,,-0.048110,0,0,0.011292,0.179254,0.616278,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
2015-11-05,7955.450195,-0.010541,19.290001,,,,,-5545.000000,1475.366700,18602.724000,-0.377400,0.007286,0.115661,18.419630,19.290001,0.192900,0.115661,0.077239,,,,-0.043651,0,0,0.011343,0.180072,0.642306,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000
